Player,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos
A.J. Green,11/4/2024,MIL,CLE,L 114-116,,34,7,9,0.778,0,0,,7,9,0.778,0,0,,1.167,0,6,6,1,0,0,1,0,21,19,11.4,5,G
A.J. Green,1/4/2025,MIL,POR,L 102-105,,30,7,13,0.538,0,0,,7,13,0.538,0,0,,0.808,0,2,2,3,1,0,1,2,21,16.6,11.1,4,G
A.J. Green,11/20/2024,MIL,CHI,W 122-106,,27,6,9,0.667,1,2,0.5,5,7,0.714,1,2,0.5,0.911,1,1,2,1,2,1,0,2,18,17.3,13.5,22,G
A.J. Green,3/5/2025,MIL,DAL,W 137-107,,31,6,9,0.667,0,0,,6,9,0.667,0,0,,1,0,2,2,2,0,0,0,2,18,15.3,8,22,G
A.J. Green,1/14/2025,MIL,SAC,W 130-115,,30,5,13,0.385,1,1,1,4,12,0.333,2,2,1,0.576,2,2,4,1,0,0,0,2,16,10.8,-1.6,9,G
A.J. Green,1/8/2025,MIL,SAS,W 121-105,,25,5,9,0.556,1,2,0.5,4,7,0.571,0,0,,0.778,0,1,1,1,1,0,0,3,14,10.5,5.3,18,G
A.J. Green,2/2/2025,MIL,MEM,L 119-132,,28,5,8,0.625,2,2,1,3,6,0.5,1,1,1,0.829,1,2,3,1,2,0,0,2,14,13.6,5.6,-13,G
A.J. Green,11/30/2024,MIL,WAS,W 124-114,,26,4,8,0.5,1,2,0.5,3,6,0.5,2,2,1,0.732,0,1,1,1,0,0,0,6,13,7.6,-4.6,6,G
A.J. Green,11/7/2024,MIL,UTA,W 123-100,,18,4,6,0.667,0,0,,4,6,0.667,0,0,,1,0,0,0,2,1,0,1,0,12,10.8,14.2,13,G
A.J. Green,11/10/2024,MIL,BOS,L 107-113,,27,4,6,0.667,0,0,,4,6,0.667,0,0,,1,0,3,3,0,3,0,0,1,12,12.9,10.3,-5,G
A.J. Green,11/12/2024,MIL,TOR,W 99-85,*,30,4,14,0.286,0,0,,4,14,0.286,0,0,,0.429,2,3,5,3,2,0,1,2,12,8.4,-0.7,12,G
A.J. Green,2/25/2025,MIL,HOU,L 97-100,,33,4,8,0.5,0,0,,4,8,0.5,0,0,,0.75,1,4,5,1,1,0,0,3,12,10.4,3.3,7,G
A.J. Green,12/3/2024,MIL,DET,W 128-107,,22,4,4,1,1,1,1,3,3,1,0,0,,1.375,0,3,3,0,2,0,3,5,11,7.7,3.3,-2,G
A.J. Green,2/9/2025,MIL,PHI,W 135-127,,25,3,7,0.429,1,3,0.333,2,4,0.5,3,3,1,0.661,0,4,4,2,1,0,0,1,11,10.5,1.2,28,G
A.J. Green,12/23/2024,MIL,CHI,W 112-91,,25,3,8,0.375,2,3,0.667,1,5,0.2,3,3,1,0.536,0,2,2,3,0,0,1,1,10,6.9,-3.1,18,G
A.J. Green,10/25/2024,MIL,CHI,L 122-133,,11,3,4,0.75,0,0,,3,4,0.75,0,0,,1.125,0,1,1,1,0,0,0,1,9,8,15.2,-6,G
A.J. Green,11/8/2024,MIL,NYK,L 94-116,,25,3,6,0.5,0,0,,3,6,0.5,0,0,,0.75,0,0,0,0,0,0,0,4,9,4.4,-2.4,-4,G
A.J. Green,11/23/2024,MIL,CHO,W 125-119,,25,3,4,0.75,0,0,,3,4,0.75,0,0,,1.125,1,5,6,0,0,0,2,6,9,5.2,-3.5,20,G
A.J. Green,11/26/2024,MIL,MIA,W 106-103,*,28,3,7,0.429,0,0,,3,7,0.429,0,0,,0.643,0,1,1,2,0,0,1,4,9,4.4,-6.7,4,G
A.J. Green,12/10/2024,MIL,ORL,W 114-109,,33,3,9,0.333,0,1,0,3,8,0.375,0,0,,0.5,0,4,4,2,0,1,2,2,9,4.4,-5.8,13,G
A.J. Green,12/14/2024,MIL,ATL,W 110-102,,19,3,6,0.5,0,0,,3,6,0.5,0,0,,0.75,0,1,1,1,0,0,2,6,9,2.6,-6.1,6,G
A.J. Green,12/31/2024,MIL,IND,W 120-112,,16,3,6,0.5,0,0,,3,6,0.5,0,0,,0.75,1,1,2,1,0,0,0,5,9,5.7,3,8,G
A.J. Green,2/12/2025,MIL,MIN,W 103-101,,19,3,8,0.375,0,1,0,3,7,0.429,0,0,,0.563,0,1,1,1,0,0,0,3,9,4.4,-2.3,-6,G
A.J. Green,2/20/2025,MIL,LAC,W 116-110,,30,3,8,0.375,0,0,,3,8,0.375,0,0,,0.563,1,2,3,2,0,0,0,3,9,6.1,-1.6,18,G
A.J. Green,2/21/2025,MIL,WAS,W 104-101,*,37,3,9,0.333,0,0,,3,9,0.333,0,0,,0.5,0,3,3,3,1,1,1,4,9,6,-3.7,-7,G
A.J. Green,12/26/2024,MIL,BRK,L 105-111,,29,3,8,0.375,1,1,1,2,7,0.286,0,0,,0.5,1,5,6,2,0,0,0,1,8,6.8,-3.9,2,G
A.J. Green,2/5/2025,MIL,CHO,W 112-102,,28,3,7,0.429,1,1,1,2,6,0.333,0,0,,0.571,0,2,2,1,1,1,1,2,8,5.5,-5.4,1,G
A.J. Green,3/4/2025,MIL,ATL,W 127-121,,23,3,8,0.375,1,2,0.5,2,6,0.333,0,0,,0.5,0,4,4,1,0,0,1,0,8,4.5,-5.8,1,G
